                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.97567,                 1.0414,                 1.0802,                0.43178,                0.72166,                0.50329,                0.34452,                 1.2044,                 1.3191,                 1.2093,               0.003961,               0.003961,               0.003961
                     63,                 0.9378,                 1.0151,                 1.0568,                0.43601,                 0.7788,                0.52282,                  0.354,                 1.2415,                 1.2783,                 1.2274,               0.003862,               0.003862,               0.003862
                     64,                0.93911,                 1.0092,                  1.053,                0.44823,                0.72166,                0.52206,                0.35997,                 1.2173,                 1.2863,                  1.212,               0.003763,               0.003763,               0.003763
                     65,                0.93425,                 1.0017,                 1.0695,                0.47555,                0.72798,                0.53293,                0.36202,                 1.2495,                 1.2957,                  1.231,               0.003664,               0.003664,               0.003664
                     66,                0.92229,                0.99499,                 1.0501,                0.45904,                0.74433,                0.53072,                0.36451,                 1.2309,                  1.293,                 1.2133,               0.003565,               0.003565,               0.003565
                     67,                0.92316,                 1.0168,                 1.0587,                0.44703,                0.72686,                0.50307,                0.34073,                 1.2688,                 1.3373,                 1.2346,               0.003466,               0.003466,               0.003466
                     68,                0.90802,                0.97502,                 1.0456,                0.42793,                0.77725,                0.50491,                0.33981,                 1.2181,                 1.2915,                 1.2129,               0.003367,               0.003367,               0.003367
                     69,                0.89968,                0.99213,                 1.0463,                0.44938,                0.71816,                0.50498,                0.35053,                 1.2131,                 1.2856,                 1.2076,               0.003268,               0.003268,               0.003268
                     70,                0.90151,                0.97144,                 1.0631,                0.47197,                0.71639,                0.53088,                0.36356,                 1.2059,                 1.2917,                 1.2037,               0.003169,               0.003169,               0.003169
                     71,                0.91687,                0.97098,                 1.0549,                0.46883,                0.74374,                0.53125,                0.36629,                 1.2003,                 1.2322,                 1.1918,                0.00307,                0.00307,                0.00307
                     72,                0.89803,                0.98142,                 1.0337,                0.45336,                0.74742,                0.52431,                0.36441,                 1.2033,                 1.2712,                 1.1936,               0.002971,               0.002971,               0.002971
                     73,                0.89267,                 0.9805,                 1.0445,                0.46204,                0.74922,                0.54345,                0.37287,                 1.2185,                  1.252,                  1.214,               0.002872,               0.002872,               0.002872
                     74,                0.88122,                 0.9366,                 1.0398,                0.46001,                0.70328,                0.53751,                0.36728,                 1.2169,                 1.2845,                 1.2121,               0.002773,               0.002773,               0.002773
                     75,                0.89722,                0.95188,                 1.0483,                0.45259,                0.75145,                0.52267,                0.35276,                 1.2329,                 1.2967,                 1.2166,               0.002674,               0.002674,               0.002674
                     76,                0.88266,                0.95118,                 1.0366,                0.45363,                0.72373,                0.51666,                0.36042,                 1.2184,                 1.3079,                 1.2141,               0.002575,               0.002575,               0.002575
                     77,                0.87571,                0.93809,                 1.0415,                0.45941,                0.69667,                0.51083,                0.35448,                 1.2144,                 1.3074,                 1.2156,               0.002476,               0.002476,               0.002476
